,full_text,created_at,favorite_count,quote_count,retweet_count,reply_count
1431,Possible severe weather threat early next week for Plains and Texas http://t.co/UgY2uLVG8R,2013-04-04T23:17:19.000Z,6,0,1,0
1432,"The roof of the Binghamton, New York, sports complex collapsed from heavy snowfall https://t.co/cIS2UclvBr",2020-12-19T18:06:03.000Z,5,0,1,1
1433,Wicked Lightning Storm: At least five people were killed and 150 injured by a series of lightning strikes in a mountain range on the border of Poland and Slovakia https://t.co/wabWpR3N0g,2019-08-23T21:42:59.000Z,4,0,4,1
1434,"Hattiesburg, Mississippi mayor talks Sunday night tornado http://t.co/DOaBDDOR",2013-02-11T11:00:37.000Z,6,0,1,0
1435,The SPC has upgraded to a rare high risk advisory for portions of southern Arkansas http://t.co/DRSaE8cwZq,2014-04-27T20:09:48.000Z,6,0,7,0
1436,The first freeze is coming for part of the continental U.S. http://t.co/UBLxmDR,2011-09-13T22:36:12.000Z,5,0,3,1
1437,The Weather Channel says Winter Storm Brutus will bring big snow and severe storms http://t.co/9HDTNEoO,2012-11-10T12:10:51.000Z,6,0,4,1
1438,Major heat wave expected in western U.S. - Las Vegas could potentially tie or break all-time temperature record http://t.co/P3MyNa7pIz,2013-06-26T22:06:57.000Z,5,0,3,0
1439,Colorado tornado photograph named DIRT wins 2015 National Geographic Photo Contest https://t.co/rSmQGS3Gvf (via @science),2015-12-29T23:08:40.000Z,3,0,1,0
1440,"Amateur video of EF4 tornado in Henryville, Indiana http://t.co/fSzrT3Ph (via @science)",2012-03-05T10:25:50.000Z,4,0,2,0
1441,NOAA is predicting a 70% chance of 13 to 20 named storms for the 2013 hurricane season http://t.co/4POKvee4uh,2013-05-25T01:46:56.000Z,5,0,3,0
1442,Tornado outbreak forecast for Christmas day  in Lower MS valley and Central Gulf states http://t.co/mjm7Md0j,2012-12-24T15:52:23.000Z,5,0,0,0
1443,"California flood threat from ""Atmosphere River"" says Weather Channel http://t.co/CDhzzm26",2012-11-28T05:11:31.000Z,5,0,0,0
1444,"Nearly 5,000 homes damaged in Louisiana flooding https://t.co/1Gyg9QelUQ",2016-03-14T03:09:17.000Z,3,0,2,0
1445,"Tornado damages 890 homes in Japan, kills teenager http://t.co/0TDZNYPs (via @newsalert)",2012-05-08T07:21:46.000Z,4,0,2,0
1446,First snowfall in almost 115 years recorded on Japan's Amami-Oshima island https://t.co/7FdZOtY0Zq,2016-01-25T16:08:16.000Z,2,0,1,0
1447,"Moore, Oklahoma tornado threw debris 20,000 feet Into the air http://t.co/S1ZSDWp1FU (via @science)",2013-05-21T14:27:50.000Z,4,0,5,2
1448,"NWS: Lubbock, Texas haboob was similar to Dust Bowl haboobs. http://t.co/Y6arEnyJ",2011-10-22T21:28:13.000Z,4,0,1,0
1449,Wave from Tropical Storm Nanmadol hits reporter http://t.co/ueHEBYj (via @videonacho),2011-08-31T15:58:32.000Z,4,0,1,0
1450,"Weather Channel: Bombogenesis likely with nor'easter, storm will get tropical moisture boost from Philippe https://t.co/s0YxK4roHL",2017-10-30T00:37:26.000Z,4,0,1,3
1451,Chicago's Museum of Science and Industry opens Science Storms exhibit - contains 40-foot tornado display http://bit.ly/acWixy,2010-03-17T16:36:35.000Z,4,0,1,0
1452,SPC forecasting moderate risk of severe thunderstorms for parts of the central plains later today http://t.co/07G0Usb1We,2013-05-19T12:32:22.000Z,4,0,0,0
1453,"PDS Severe Thunderstorm Watch out for Derecho for parts of Iowa, Illinois, Indiana and Wisconsin. https://t.co/HVCQjnmnLK",2020-08-10T21:14:13.000Z,4,0,0,0
1454,NASA uses satellites to track volcanic ash https://t.co/N416Q2XBCr  (via @science),2016-05-15T22:00:07.000Z,3,0,2,0
1455,Google has added a snowy easter egg for the holidays. http://t.co/qFIf2SwV,2011-12-18T04:52:54.000Z,4,0,1,0
1456,"Around 954,000 at risk of major storm surge damage from Hurricane Matthew according to CoreLogic https://t.co/BM3KHSAyzG",2016-10-07T02:24:30.000Z,1,0,5,1
1457,"Over 600,000 now without power in Northeast due to blizzard per @TWCBreaking",2013-02-09T06:40:44.000Z,4,0,2,0
1458,Rain expected for Donald Trump's Inauguration in Washington D.C. on Friday https://t.co/44BgiyJSqp,2017-01-17T06:07:23.000Z,4,0,2,3
1459,"National Weather Service says El Reno, Oklahoma tornado was a record 2.6 miles wide http://t.co/4XHskGiHby",2013-06-05T15:23:06.000Z,4,0,0,1
1460,Oklahoma hail storm amateur video shows large hailstones hitting a homeowner's swimming pool. http://bit.ly/crHbGw,2010-05-19T16:01:52.000Z,3,0,4,0
1461,Mélanie can do it: Down’s Syndrome woman to become France’s newest weather presenter https://t.co/bj8W7g1RLb,2017-03-03T14:33:26.000Z,4,0,2,0
